"parameter_cd","group","parm_nm","epa_equivalence","result_statistical_basis","result_time_basis","result_weight_basis","result_particle_size_basis","result_sample_fraction","result_temperature_basis","CASRN","SRSName","parm_unit"
"49401","Organics, Other","Bis(2-chloroethoxy)methane, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","111-91-1","Bis(2-chloroethoxy)methane","ug/kg"
"49402","Organics, Other","Naphthalene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","91-20-3","Naphthalene","ug/kg"
"49403","Organics, Other","1,2-Dimethylnaphthalene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","573-98-8","1,2-Dimethylnaphthalene","ug/kg"
"49404","Organics, Other","1,6-Dimethylnaphthalene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","575-43-9","1,6-Dimethylnaphthalene","ug/kg"
"49405","Organics, Other","2,3,6-Trimethylnaphthalene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","829-26-5","2,3,6-Trimethylnaphthalene","ug/kg"
"49406","Organics, Other","2,6-Dimethylnaphthalene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","581-42-0","2,6-Dimethylnaphthalene","ug/kg"
"49407","Organics, Other","2-Chloronaphthalene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","91-58-7","2-Chloronaphthalene","ug/kg"
"49408","Organics, Other","Benzo[ghi]perylene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","191-24-2","Benzo[ghi]perylene","ug/kg"
"49409","Organics, Other","Phenanthrene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","85-01-8","Phenanthrene","ug/kg"
"49410","Organics, Other","1-Methylphenanthrene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","832-69-9","1-Methylphenanthrene","ug/kg"
"49411","Organics, Other","4H-Cyclopenta[def]phenanthrene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","203-64-5","4H-Cyclopenta[def]phenanthrene","ug/kg"
"49413","Organics, Other","Phenol, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","108-95-2","Phenol","ug/kg"
"49415","Organics, Pesticide","2,4,6-Trichlorophenol, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","88-06-2","2,4,6-Trichlorophenol","ug/kg"
"49421","Organics, Other","3,5-Dimethylphenol, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","108-68-9","3,5-Dimethylphenol","ug/kg"
"49422","Organics, Pesticide","4-Chloro-3-methylphenol, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","59-50-7","p-Chloro-m-cresol","ug/kg"
"49424","Organics, Other","C8-alkylphenol, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment",""," "," ","ug/kg"
"49426","Organics, Other","Bis(2-ethylhexyl) phthalate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","117-81-7","Di(2-ethylhexyl) phthalate","ug/kg"
"49427","Organics, Other","Benzyl n-butyl phthalate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","85-68-7","Butyl benzyl phthalate","ug/kg"
"49428","Organics, Other","Acenaphthylene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","208-96-8","Acenaphthylene","ug/kg"
"49429","Organics, Other","Acenaphthene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","83-32-9","Acenaphthene","ug/kg"
"49430","Organics, Other","Acridine, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","260-94-6","Acridine","ug/kg"
"49431","Organics, Other","N-Nitrosodi-n-propylamine, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","621-64-7","N-Nitrosodi-n-propylamine","ug/kg"
"49433","Organics, Other","N-Nitrosodiphenylamine, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","86-30-6","N-Nitrosodiphenylamine","ug/kg"
"49434","Organics, Other","Anthracene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","120-12-7","Anthracene","ug/kg"
"49435","Organics, Other","2-Methylanthracene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","613-12-7","2-Methylanthracene","ug/kg"
"49436","Organics, Other","Benzo[a]anthracene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","56-55-3","Benz[a]anthracene","ug/kg"
"49437","Organics, Other","9,10-Anthraquinone, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","84-65-1","Anthraquinone","ug/kg"
"49438","Organics, Other","1,2,4-Trichlorobenzene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","120-82-1","1,2,4-Trichlorobenzene","ug/kg"
"49439","Organics, Other","1,2-Dichlorobenzene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","95-50-1","o-Dichlorobenzene","ug/kg"
"49441","Organics, Other","1,3-Dichlorobenzene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","541-73-1","m-Dichlorobenzene","ug/kg"
"49442","Organics, Pesticide","1,4-Dichlorobenzene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","106-46-7","p-Dichlorobenzene","ug/kg"
"49443","Organics, Pesticide","Azobenzene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","103-33-3","Azobenzene","ug/kg"
"49444","Organics, Other","Nitrobenzene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","98-95-3","Nitrobenzene","ug/kg"
"49446","Organics, Pesticide","Pentachloronitrobenzene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","82-68-8","Pentachloronitrobenzene","ug/kg"
"49449","Organics, Pesticide","Carbazole, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","86-74-8","Carbazole","ug/kg"
"49450","Organics, Other","Chrysene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","218-01-9","Chrysene","ug/kg"
"49451","Organics, Pesticide","p-Cresol, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","106-44-5","p-Cresol","ug/kg"
"49452","Organics, Other","Dibenzothiophene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","132-65-0","Dibenzothiophene","ug/kg"
"49454","Organics, Other","4-Bromophenyl phenyl ether, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","101-55-3","p-Bromophenyl phenyl ether","ug/kg"
"49455","Organics, Other","4-Chlorophenyl phenyl ether, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","7005-72-3","p-Chlorophenyl phenyl ether","ug/kg"
"49458","Organics, Other","Benzo[b]fluoranthene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","205-99-2","Benzo(b)fluoranthene","ug/kg"
"49459","Organics, PCBs","PCBs, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","1336-36-3","Polychlorinated biphenyls","ug/kg"
"49460","Organics, Pesticide","Pentachloroanisole, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","1825-21-4","Benzene, pentachloromethoxy-","ug/kg"
"49461","Organics, Other","Dibenzo[a,h]anthracene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","53-70-3","Dibenz[a,h]anthracene","ug/kg"
"49465","Inorganics, Minor, Metals","Vanadium, biota, tissue, recoverable, dry weight, milligrams per kilogram","Not checked","","","Dry","","Recoverable","","7440-62-2","Vanadium","mg/kg"
"49466","Organics, Other","Fluoranthene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","206-44-0","Fluoranthene","ug/kg"
"49467","Organics, Other","2-Chlorophenol, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","95-57-8","o-Chlorophenol","ug/kg"
"49468","Organics, Other","Benzo[c]cinnoline, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","230-17-1","Benzo[c]cinnoline","ug/kg"
"49948","Organics, Other","2-Ethylnaphthalene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","939-27-5","2-Ethylnaphthalene","ug/kg"
"80164","Sediment","Bed sediment, sieve diameter, percent smaller than 0.0625 millimeters","Agree","","","","< 0.0625 mm","Bed Sediment",""," ","Sediment","%"
"80165","Sediment","Bed sediment, sieve diameter, percent smaller than 0.125 millimeters","Agree","","","","< 0.125 mm","Bed Sediment",""," ","Sediment","%"
"80166","Sediment","Bed sediment, sieve diameter, percent smaller than 0.25 millimeters","Agree","","","","< 0.25 mm","Bed Sediment",""," ","Sediment","%"
"80167","Sediment","Bed sediment, sieve diameter, percent smaller than 0.5 millimeters","Agree","","","","< 0.5 mm","Bed Sediment",""," ","Sediment","%"
"80168","Sediment","Bed sediment, sieve diameter, percent smaller than 1 millimeter","Agree","","","","< 1 mm","Bed Sediment",""," ","Sediment","%"
"80169","Sediment","Bed sediment, sieve diameter, percent smaller than 2 millimeters","Agree","","","","< 2 mm","Bed Sediment",""," ","Sediment","%"
"90854","Organics, Pesticide","DDT plus degradates, biota, whole organism, minimum summation, wet weight, micrograms per kilogram","USGS use and no use by EPA","Minimum","","Wet","","",""," ","Benzene, 1-chloro-2-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]-, 1,1'-(2,2,2-trichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene], 1,1'-(2,2-dichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene, and 1,1'-(dichloroethenylidene)bis[4-chlorobenzene] and metabolites","ug/kg"
"90863","Organics, Pesticide","DDT plus degradates, bed sediment smaller than 2 millimeters, wet sieved (native water), recoverable, maximum summation, dry weight, micrograms per kilogram","Not checked","Maximum","","Dry","< 2 mm","Bed Sediment",""," ","Benzene, 1-chloro-2-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]-, 1,1'-(2,2,2-trichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene], 1,1'-(2,2-dichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene, and 1,1'-(dichloroethenylidene)bis[4-chlorobenzene] and metabolites","ug/kg"
"90864","Organics, Pesticide","Chlordane plus degradates, bed sediment, recoverable, maximum summation, dry weight, micrograms per kilogram","Not checked","Maximum","","Dry","","Bed Sediment",""," ","Chlordane, technical, and/or chlordane metabolites","ug/kg"
"90865","Organics, Pesticide","DDT plus degradates, biota, whole organism, wet weight, maximum summation, micrograms per kilogram","Not checked","Maximum","","Wet","","",""," ","Benzene, 1-chloro-2-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]-, 1,1'-(2,2,2-trichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene], 1,1'-(2,2-dichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene, and 1,1'-(dichloroethenylidene)bis[4-chlorobenzene] and metabolites","ug/kg"
"90866","Organics, Pesticide","Chlordane plus degradates, biota, whole organism, maximum summation, wet weight, micrograms per kilogram","Not checked","Maximum","","Wet","","",""," ","Chlordane, technical, and/or chlordane metabolites","ug/kg"
"99822","Information","Set number, NWQL schedule 2101","USGS use and no use by EPA","","","","","",""," "," ","nu"
"99824","Information","Set number, NWQL schedule 2501","USGS use and no use by EPA","","","","","",""," "," ","nu"
"99825","Information","Set number, NWQL schedule 2502","USGS use and no use by EPA","","","","","",""," "," ","nu"
"99852","Information","Sample weight, NWQL schedule 2101, grams","USGS use and no use by EPA","","","","","",""," "," ","g"
"99853","Information","Sample weight, NWQL schedule 2501, grams","USGS use and no use by EPA","","","","","",""," "," ","g"
"00008","Information","Sample accounting number","Agree","","","","","",""," "," ","nu"
"00431","Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, milligrams per liter as calcium carbonate","Not checked","","","","","Total",""," ","Alkalinity","mg/l CaCO3"
"01150","Inorganics, Minor, Metals","Titanium, water, filtered, micrograms per liter","Agree","","","","","Dissolved","","7440-32-6","Titanium","ug/l"
"01160","Inorganics, Minor, Metals","Zirconium, water, filtered, micrograms per liter","Agree","","","","","Dissolved","","7440-67-7","Zirconium","ug/l"
"95440","Inorganics, Major, Non-metals","Bicarbonate, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter","USGS use and no use by EPA","","","","","Total","","71-52-3","Bicarbonate","mg/l"
"95445","Inorganics, Major, Non-metals","Carbonate, water, unfiltered, fixed endpoint (pH 8.3) titration, laboratory, milligrams per liter","USGS use and no use by EPA","","","","","Total","","3812-32-6","Carbonate (CO3)","mg/l"
